161102 14:43:16	   10 Query	SELECT  `shoppe_product_categories`.* FROM `shoppe_product_categories` INNER JOIN `shoppe_product_category_translations` ON `shoppe_product_category_translations`.`shoppe_product_category_id` = `shoppe_product_categories`.`id` WHERE `shoppe_product_category_translations`.`permalink` = 'network-eqipment' AND `shoppe_product_category_translations`.`locale` = 'en'  ORDER BY `shoppe_product_categories`.`id` ASC LIMIT 1
		   10 Query	INSERT INTO `shoppe_orders` (`ip_address`, `billing_country_id`, `status`, `token`, `created_at`, `updated_at`) VALUES ('127.0.0.1', 77, 'building', '174d8f2c-e2c9-4135-81bd-107e46a8b6f8', '2016-11-02 21:43:37', '2016-11-02 21:43:37')
		   10 Query	SHOW FULL FIELDS FROM `nifty_key_value_store`
		   10 Query	SELECT `nifty_key_value_store`.* FROM `nifty_key_value_store` WHERE `nifty_key_value_store`.`parent_id` = 23 AND `nifty_key_value_store`.`parent_type` = 'Shoppe::Order' AND `nifty_key_value_store`.`group` = 'properties'
		   10 Query	COMMIT
		   10 Query	SELECT  1 AS one FROM `shoppe_products` WHERE `shoppe_products`.`parent_id` = 12 LIMIT 1
		   10 Query	BEGIN
		   10 Query	SELECT  `shoppe_order_items`.* FROM `shoppe_order_items` WHERE `shoppe_order_items`.`order_id` = 23 AND `shoppe_order_items`.`ordered_item_id` = 12 AND `shoppe_order_items`.`ordered_item_type` = 'Shoppe::Product'  ORDER BY `shoppe_order_items`.`id` ASC LIMIT 1
		   10 Query	SELECT SUM(`shoppe_stock_level_adjustments`.`adjustment`) FROM `shoppe_stock_level_adjustments` WHERE `shoppe_stock_level_adjustments`.`item_id` = 12 AND `shoppe_stock_level_adjustments`.`item_type` = 'Shoppe::Product'
		   10 Query	SHOW CREATE TABLE `shoppe_stock_level_adjustments`
		   10 Query	SELECT  `shoppe_orders`.* FROM `shoppe_orders` WHERE `shoppe_orders`.`id` = 23 LIMIT 1
		   10 Query	INSERT INTO `shoppe_order_items` (`order_id`, `ordered_item_id`, `ordered_item_type`, `quantity`, `created_at`, `updated_at`) VALUES (23, 12, 'Shoppe::Product', 0, '2016-11-02 21:43:37', '2016-11-02 21:43:37')
		   10 Query	UPDATE `shoppe_orders` SET `shoppe_orders`.`updated_at` = '2016-11-02 21:43:37' WHERE `shoppe_orders`.`id` = 23
		   10 Query	SELECT SUM(`shoppe_stock_level_adjustments`.`adjustment`) FROM `shoppe_stock_level_adjustments` WHERE `shoppe_stock_level_adjustments`.`item_id` = 12 AND `shoppe_stock_level_adjustments`.`item_type` = 'Shoppe::Product'
		   10 Query	SELECT SUM(`shoppe_stock_level_adjustments`.`adjustment`) FROM `shoppe_stock_level_adjustments` WHERE `shoppe_stock_level_adjustments`.`parent_id` = 24 AND `shoppe_stock_level_adjustments`.`parent_type` = 'Shoppe::OrderItem'
		   10 Query	UPDATE `shoppe_order_items` SET `quantity` = 1, `updated_at` = '2016-11-02 21:43:37' WHERE `shoppe_order_items`.`id` = 24
		   10 Query	UPDATE `shoppe_orders` SET `shoppe_orders`.`updated_at` = '2016-11-02 21:43:37' WHERE `shoppe_orders`.`id` = 23
		   10 Query	SELECT `shoppe_order_items`.* FROM `shoppe_order_items` WHERE `shoppe_order_items`.`order_id` = 23
		   10 Query	SELECT  `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`id` = 12 LIMIT 1
		   10 Query	COMMIT
		   10 Query	SELECT  `shoppe_product_categories`.* FROM `shoppe_product_categories` INNER JOIN `shoppe_product_category_translations` ON `shoppe_product_category_translations`.`shoppe_product_category_id` = `shoppe_product_categories`.`id` WHERE `shoppe_product_category_translations`.`permalink` = 'network-eqipment' AND `shoppe_product_category_translations`.`locale` = 'en'  ORDER BY `shoppe_product_categories`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_category_translations`.* FROM `shoppe_product_category_translations` WHERE `shoppe_product_category_translations`.`shoppe_product_category_id` IN (3)
		   10 Query	SELECT  `shoppe_products`.* FROM `shoppe_products` INNER JOIN `shoppe_product_translations` ON `shoppe_product_translations`.`shoppe_product_id` = `shoppe_products`.`id` INNER JOIN `shoppe_product_categorizations` ON `shoppe_products`.`id` = `shoppe_product_categorizations`.`product_id` WHERE `shoppe_product_categorizations`.`product_category_id` = 3 AND `shoppe_product_translations`.`permalink` = 'tp1' AND `shoppe_product_translations`.`locale` = 'en' AND `shoppe_products`.`active` = 1  ORDER BY `shoppe_products`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_translations`.* FROM `shoppe_product_translations` WHERE `shoppe_product_translations`.`shoppe_product_id` IN (12)
		   10 Query	SELECT `shoppe_product_attributes`.* FROM `shoppe_product_attributes` WHERE `shoppe_product_attributes`.`product_id` = 12 AND `shoppe_product_attributes`.`public` = 1  ORDER BY `shoppe_product_attributes`.`position` ASC
		   10 Query	SELECT  `shoppe_product_categories`.* FROM `shoppe_product_categories` INNER JOIN `shoppe_product_categorizations` ON `shoppe_product_categories`.`id` = `shoppe_product_categorizations`.`product_category_id` WHERE `shoppe_product_categorizations`.`product_id` = 12  ORDER BY `shoppe_product_categories`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_category_translations`.* FROM `shoppe_product_category_translations` WHERE `shoppe_product_category_translations`.`shoppe_product_category_id` = 3
		   10 Query	SELECT  `shoppe_attachments`.* FROM `shoppe_attachments` WHERE `shoppe_attachments`.`parent_id` = 12 AND `shoppe_attachments`.`parent_type` = 'Shoppe::Product' AND `shoppe_attachments`.`role` = 'default_image'  ORDER BY `shoppe_attachments`.`id` ASC LIMIT 1
		   10 Query	SELECT  1 AS one FROM `shoppe_products` WHERE `shoppe_products`.`parent_id` = 12 LIMIT 1
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`parent_id` = 12
		   10 Query	SELECT `shoppe_settings`.* FROM `shoppe_settings`
		   10 Query	SELECT SUM(`shoppe_stock_level_adjustments`.`adjustment`) FROM `shoppe_stock_level_adjustments` WHERE `shoppe_stock_level_adjustments`.`item_id` = 12 AND `shoppe_stock_level_adjustments`.`item_type` = 'Shoppe::Product'
		   10 Query	SELECT  `shoppe_attachments`.* FROM `shoppe_attachments` WHERE `shoppe_attachments`.`parent_id` = 12 AND `shoppe_attachments`.`parent_type` = 'Shoppe::Product' AND `shoppe_attachments`.`role` = 'data_sheet'  ORDER BY `shoppe_attachments`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_categories`.`id` AS t0_r0, `shoppe_product_categories`.`name` AS t0_r1, `shoppe_product_categories`.`permalink` AS t0_r2, `shoppe_product_categories`.`description` AS t0_r3, `shoppe_product_categories`.`created_at` AS t0_r4, `shoppe_product_categories`.`updated_at` AS t0_r5, `shoppe_product_categories`.`parent_id` AS t0_r6, `shoppe_product_categories`.`lft` AS t0_r7, `shoppe_product_categories`.`rgt` AS t0_r8, `shoppe_product_categories`.`depth` AS t0_r9, `shoppe_product_categories`.`ancestral_permalink` AS t0_r10, `shoppe_product_categories`.`permalink_includes_ancestors` AS t0_r11, `shoppe_product_category_translations`.`id` AS t1_r0, `shoppe_product_category_translations`.`shoppe_product_category_id` AS t1_r1, `shoppe_product_category_translations`.`locale` AS t1_r2, `shoppe_product_category_translations`.`created_at` AS t1_r3, `shoppe_product_category_translations`.`updated_at` AS t1_r4, `shoppe_product_category_translations`.`name` AS t1_r5, `shoppe_product_category_translations`.`permalink` AS t1_r6, `shoppe_product_category_translations`.`description` AS t1_r7 FROM `shoppe_product_categories` LEFT OUTER JOIN `shoppe_product_category_translations` ON `shoppe_product_category_translations`.`shoppe_product_category_id` = `shoppe_product_categories`.`id`  ORDER BY shoppe_product_category_translations.name
		   10 Query	SELECT  `shoppe_orders`.* FROM `shoppe_orders` WHERE `shoppe_orders`.`id` = 23 LIMIT 1
		   10 Query	SELECT `shoppe_order_items`.* FROM `shoppe_order_items` WHERE `shoppe_order_items`.`order_id` IN (23)
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`id` IN (12)
161102 14:43:57	   10 Query	SELECT  `shoppe_orders`.* FROM `shoppe_orders` WHERE `shoppe_orders`.`id` = 23 LIMIT 1
		   10 Query	SELECT `shoppe_order_items`.* FROM `shoppe_order_items` WHERE `shoppe_order_items`.`order_id` IN (23)
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`id` IN (12)
		   10 Query	SELECT `shoppe_settings`.* FROM `shoppe_settings`
		   10 Query	SELECT `shoppe_order_items`.* FROM `shoppe_order_items` WHERE `shoppe_order_items`.`order_id` = 23
		   10 Query	SELECT  `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`id` = 12 LIMIT 1
		   10 Query	SELECT `shoppe_product_translations`.* FROM `shoppe_product_translations` WHERE `shoppe_product_translations`.`shoppe_product_id` = 12
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`parent_id` = 12
		   10 Query	SELECT `shoppe_countries`.* FROM `shoppe_countries`  ORDER BY `shoppe_countries`.`name` ASC
		   10 Query	SELECT `shoppe_product_categories`.`id` AS t0_r0, `shoppe_product_categories`.`name` AS t0_r1, `shoppe_product_categories`.`permalink` AS t0_r2, `shoppe_product_categories`.`description` AS t0_r3, `shoppe_product_categories`.`created_at` AS t0_r4, `shoppe_product_categories`.`updated_at` AS t0_r5, `shoppe_product_categories`.`parent_id` AS t0_r6, `shoppe_product_categories`.`lft` AS t0_r7, `shoppe_product_categories`.`rgt` AS t0_r8, `shoppe_product_categories`.`depth` AS t0_r9, `shoppe_product_categories`.`ancestral_permalink` AS t0_r10, `shoppe_product_categories`.`permalink_includes_ancestors` AS t0_r11, `shoppe_product_category_translations`.`id` AS t1_r0, `shoppe_product_category_translations`.`shoppe_product_category_id` AS t1_r1, `shoppe_product_category_translations`.`locale` AS t1_r2, `shoppe_product_category_translations`.`created_at` AS t1_r3, `shoppe_product_category_translations`.`updated_at` AS t1_r4, `shoppe_product_category_translations`.`name` AS t1_r5, `shoppe_product_category_translations`.`permalink` AS t1_r6, `shoppe_product_category_translations`.`description` AS t1_r7 FROM `shoppe_product_categories` LEFT OUTER JOIN `shoppe_product_category_translations` ON `shoppe_product_category_translations`.`shoppe_product_category_id` = `shoppe_product_categories`.`id`  ORDER BY shoppe_product_category_translations.name
161102 14:44:17	   10 Query	SELECT  `shoppe_orders`.* FROM `shoppe_orders` WHERE `shoppe_orders`.`id` = 23 LIMIT 1
		   10 Query	SELECT `shoppe_order_items`.* FROM `shoppe_order_items` WHERE `shoppe_order_items`.`order_id` IN (23)
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`id` IN (12)
		   10 Query	BEGIN
		   10 Query	SELECT  `shoppe_countries`.* FROM `shoppe_countries` WHERE `shoppe_countries`.`id` = 77 LIMIT 1
		   10 Query	SELECT `shoppe_order_items`.* FROM `shoppe_order_items` WHERE `shoppe_order_items`.`order_id` = 23
		   10 Query	SELECT  `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`id` = 12 LIMIT 1
		   10 Query	UPDATE `shoppe_orders` SET `first_name` = 'Tyler', `last_name` = 'Blanda', `company` = 'Yundt-Kutch', `billing_address1` = '9757 McClure Meadows', `billing_address3` = 'Boylebury', `billing_address4` = 'Aruba', `billing_postcode` = 'WS5Y 8NB', `email_address` = 'americo.keler@macgyver.info', `phone_number` = '0113 533 0091', `status` = 'confirming', `updated_at` = '2016-11-02 21:44:17' WHERE `shoppe_orders`.`id` = 23
		   10 Query	SELECT `nifty_key_value_store`.* FROM `nifty_key_value_store` WHERE `nifty_key_value_store`.`parent_id` = 23 AND `nifty_key_value_store`.`parent_type` = 'Shoppe::Order' AND `nifty_key_value_store`.`group` = 'properties'
		   10 Query	COMMIT
		   10 Query	SELECT  `shoppe_orders`.* FROM `shoppe_orders` WHERE `shoppe_orders`.`id` = 23 LIMIT 1
		   10 Query	SELECT `shoppe_order_items`.* FROM `shoppe_order_items` WHERE `shoppe_order_items`.`order_id` IN (23)
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`id` IN (12)
		   10 Query	SELECT `shoppe_settings`.* FROM `shoppe_settings`
161102 14:44:18	   10 Query	SELECT `shoppe_product_categories`.`id` AS t0_r0, `shoppe_product_categories`.`name` AS t0_r1, `shoppe_product_categories`.`permalink` AS t0_r2, `shoppe_product_categories`.`description` AS t0_r3, `shoppe_product_categories`.`created_at` AS t0_r4, `shoppe_product_categories`.`updated_at` AS t0_r5, `shoppe_product_categories`.`parent_id` AS t0_r6, `shoppe_product_categories`.`lft` AS t0_r7, `shoppe_product_categories`.`rgt` AS t0_r8, `shoppe_product_categories`.`depth` AS t0_r9, `shoppe_product_categories`.`ancestral_permalink` AS t0_r10, `shoppe_product_categories`.`permalink_includes_ancestors` AS t0_r11, `shoppe_product_category_translations`.`id` AS t1_r0, `shoppe_product_category_translations`.`shoppe_product_category_id` AS t1_r1, `shoppe_product_category_translations`.`locale` AS t1_r2, `shoppe_product_category_translations`.`created_at` AS t1_r3, `shoppe_product_category_translations`.`updated_at` AS t1_r4, `shoppe_product_category_translations`.`name` AS t1_r5, `shoppe_product_category_translations`.`permalink` AS t1_r6, `shoppe_product_category_translations`.`description` AS t1_r7 FROM `shoppe_product_categories` LEFT OUTER JOIN `shoppe_product_category_translations` ON `shoppe_product_category_translations`.`shoppe_product_category_id` = `shoppe_product_categories`.`id`  ORDER BY shoppe_product_category_translations.name
161102 14:44:38	   10 Query	SELECT  `shoppe_orders`.* FROM `shoppe_orders` WHERE `shoppe_orders`.`id` = 23 LIMIT 1
		   10 Query	SELECT `shoppe_order_items`.* FROM `shoppe_order_items` WHERE `shoppe_order_items`.`order_id` IN (23)
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`id` IN (12)
		   10 Query	SELECT  `shoppe_orders`.* FROM `shoppe_orders` WHERE `shoppe_orders`.`id` = 23 LIMIT 1
		   10 Query	SELECT `shoppe_order_items`.* FROM `shoppe_order_items` WHERE `shoppe_order_items`.`order_id` IN (23)
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`id` IN (12)
		   10 Query	SELECT `shoppe_settings`.* FROM `shoppe_settings`
		   10 Query	SELECT `shoppe_product_translations`.* FROM `shoppe_product_translations` WHERE `shoppe_product_translations`.`shoppe_product_id` = 12
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`parent_id` = 12
		   10 Query	SELECT `shoppe_product_categories`.`id` AS t0_r0, `shoppe_product_categories`.`name` AS t0_r1, `shoppe_product_categories`.`permalink` AS t0_r2, `shoppe_product_categories`.`description` AS t0_r3, `shoppe_product_categories`.`created_at` AS t0_r4, `shoppe_product_categories`.`updated_at` AS t0_r5, `shoppe_product_categories`.`parent_id` AS t0_r6, `shoppe_product_categories`.`lft` AS t0_r7, `shoppe_product_categories`.`rgt` AS t0_r8, `shoppe_product_categories`.`depth` AS t0_r9, `shoppe_product_categories`.`ancestral_permalink` AS t0_r10, `shoppe_product_categories`.`permalink_includes_ancestors` AS t0_r11, `shoppe_product_category_translations`.`id` AS t1_r0, `shoppe_product_category_translations`.`shoppe_product_category_id` AS t1_r1, `shoppe_product_category_translations`.`locale` AS t1_r2, `shoppe_product_category_translations`.`created_at` AS t1_r3, `shoppe_product_category_translations`.`updated_at` AS t1_r4, `shoppe_product_category_translations`.`name` AS t1_r5, `shoppe_product_category_translations`.`permalink` AS t1_r6, `shoppe_product_category_translations`.`description` AS t1_r7 FROM `shoppe_product_categories` LEFT OUTER JOIN `shoppe_product_category_translations` ON `shoppe_product_category_translations`.`shoppe_product_category_id` = `shoppe_product_categories`.`id`  ORDER BY shoppe_product_category_translations.name
161102 14:44:58	   10 Query	SELECT  `shoppe_orders`.* FROM `shoppe_orders` WHERE `shoppe_orders`.`id` = 23 LIMIT 1
		   10 Query	SELECT `shoppe_order_items`.* FROM `shoppe_order_items` WHERE `shoppe_order_items`.`order_id` IN (23)
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`id` IN (12)
		   10 Query	SELECT SUM(`shoppe_stock_level_adjustments`.`adjustment`) FROM `shoppe_stock_level_adjustments` WHERE `shoppe_stock_level_adjustments`.`item_id` = 12 AND `shoppe_stock_level_adjustments`.`item_type` = 'Shoppe::Product'
		   10 Query	SELECT SUM(`shoppe_stock_level_adjustments`.`adjustment`) FROM `shoppe_stock_level_adjustments` WHERE `shoppe_stock_level_adjustments`.`parent_id` = 24 AND `shoppe_stock_level_adjustments`.`parent_type` = 'Shoppe::OrderItem'
		   10 Query	BEGIN
		   10 Query	SELECT  `shoppe_countries`.* FROM `shoppe_countries` WHERE `shoppe_countries`.`id` = 77 LIMIT 1
		   10 Query	UPDATE `shoppe_orders` SET `status` = 'received', `received_at` = '2016-11-02 21:44:58', `updated_at` = '2016-11-02 21:44:58' WHERE `shoppe_orders`.`id` = 23
		   10 Query	SELECT `nifty_key_value_store`.* FROM `nifty_key_value_store` WHERE `nifty_key_value_store`.`parent_id` = 23 AND `nifty_key_value_store`.`parent_type` = 'Shoppe::Order' AND `nifty_key_value_store`.`group` = 'properties'
		   10 Query	COMMIT
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`parent_id` = 12
		   10 Query	BEGIN
		   10 Query	SELECT SUM(`shoppe_stock_level_adjustments`.`adjustment`) FROM `shoppe_stock_level_adjustments` WHERE `shoppe_stock_level_adjustments`.`item_id` = 12 AND `shoppe_stock_level_adjustments`.`item_type` = 'Shoppe::Product'
		   10 Query	SELECT SUM(`shoppe_stock_level_adjustments`.`adjustment`) FROM `shoppe_stock_level_adjustments` WHERE `shoppe_stock_level_adjustments`.`parent_id` = 24 AND `shoppe_stock_level_adjustments`.`parent_type` = 'Shoppe::OrderItem'
		   10 Query	UPDATE `shoppe_order_items` SET `weight` = 0.0, `unit_price` = 100.0, `unit_cost_price` = 0.0, `tax_rate` = 0.0, `updated_at` = '2016-11-02 21:44:58' WHERE `shoppe_order_items`.`id` = 24
		   10 Query	UPDATE `shoppe_orders` SET `shoppe_orders`.`updated_at` = '2016-11-02 21:44:58' WHERE `shoppe_orders`.`id` = 23
		   10 Query	COMMIT
		   10 Query	SELECT SUM(`shoppe_stock_level_adjustments`.`adjustment`) FROM `shoppe_stock_level_adjustments` WHERE `shoppe_stock_level_adjustments`.`parent_id` = 24 AND `shoppe_stock_level_adjustments`.`parent_type` = 'Shoppe::OrderItem'
		   10 Query	BEGIN
		   10 Query	INSERT INTO `shoppe_stock_level_adjustments` (`parent_id`, `parent_type`, `adjustment`, `description`, `item_id`, `item_type`, `created_at`, `updated_at`) VALUES (24, 'Shoppe::OrderItem', -1, 'Order #000023', 12, 'Shoppe::Product', '2016-11-02 21:44:58', '2016-11-02 21:44:58')
		   10 Query	COMMIT
		   10 Query	SELECT `shoppe_settings`.* FROM `shoppe_settings`
161102 14:44:59	   10 Query	SHOW FULL FIELDS FROM `shoppe_payments`
		   10 Query	BEGIN
		   10 Query	SHOW CREATE TABLE `shoppe_payments`
		   10 Query	INSERT INTO `shoppe_payments` (`method`, `amount`, `reference`, `refundable`, `order_id`, `created_at`, `updated_at`) VALUES ('Credit Card', 100.0, '19717', 1, 23, '2016-11-02 21:44:59', '2016-11-02 21:44:59')
		   10 Query	SELECT SUM(`shoppe_payments`.`amount`) FROM `shoppe_payments` WHERE `shoppe_payments`.`order_id` = 23
		   10 Query	UPDATE `shoppe_orders` SET `amount_paid` = 100.0, `updated_at` = '2016-11-02 21:44:59' WHERE `shoppe_orders`.`id` = 23
		   10 Query	SELECT `nifty_key_value_store`.* FROM `nifty_key_value_store` WHERE `nifty_key_value_store`.`parent_id` = 23 AND `nifty_key_value_store`.`parent_type` = 'Shoppe::Order' AND `nifty_key_value_store`.`group` = 'properties'
		   10 Query	SELECT `nifty_key_value_store`.* FROM `nifty_key_value_store` WHERE `nifty_key_value_store`.`parent_id` = 22 AND `nifty_key_value_store`.`parent_type` = 'Shoppe::Payment' AND `nifty_key_value_store`.`group` = 'properties'
		   10 Query	COMMIT
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`active` = 1 AND `shoppe_products`.`featured` = 1 AND `shoppe_products`.`parent_id` IS NULL
		   10 Query	SELECT `shoppe_product_categorizations`.* FROM `shoppe_product_categorizations` WHERE `shoppe_product_categorizations`.`product_id` IN (1, 4, 5, 8, 11, 12)
		   10 Query	SELECT `shoppe_product_categories`.* FROM `shoppe_product_categories` WHERE `shoppe_product_categories`.`id` IN (1, 2, 3)
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`parent_id` IN (1, 4, 5, 8, 11, 12)
		   10 Query	SELECT  `shoppe_attachments`.* FROM `shoppe_attachments` WHERE `shoppe_attachments`.`parent_id` = 1 AND `shoppe_attachments`.`parent_type` = 'Shoppe::Product' AND `shoppe_attachments`.`role` = 'default_image'  ORDER BY `shoppe_attachments`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_translations`.* FROM `shoppe_product_translations` WHERE `shoppe_product_translations`.`shoppe_product_id` = 1
		   10 Query	SELECT `shoppe_product_category_translations`.* FROM `shoppe_product_category_translations` WHERE `shoppe_product_category_translations`.`shoppe_product_category_id` = 1
